,# time passed,number of events,total number,average number
306,2302.5,237.0,72028.0,9603.733333333334
307,2310.0,239.0,72267.0,9635.6
308,2317.5,214.0,72481.0,9664.133333333333
309,2325.0,208.0,72689.0,9691.866666666667
310,2332.5,233.0,72922.0,9722.933333333332
311,2340.0,260.0,73182.0,9757.6
312,2347.5,220.0,73402.0,9786.933333333332
313,2355.0,238.0,73640.0,9818.666666666666
314,2362.5,258.0,73898.0,9853.066666666668
315,2370.0,233.0,74131.0,9884.133333333333
316,2377.5,237.0,74368.0,9915.733333333334
317,2385.0,238.0,74606.0,9947.466666666667
318,2392.5,220.0,74826.0,9976.8
319,2400.0,242.0,75068.0,10009.066666666668
320,2407.5,250.0,75318.0,10042.4
321,2415.0,223.0,75541.0,10072.133333333333
322,2422.5,216.0,75757.0,10100.933333333332
323,2430.0,225.0,75982.0,10130.933333333332
324,2437.5,229.0,76211.0,10161.466666666667
325,2445.0,224.0,76435.0,10191.333333333334
326,2452.5,211.0,76646.0,10219.466666666667
327,2460.0,243.0,76889.0,10251.866666666667
328,2467.5,238.0,77127.0,10283.6
329,2475.0,237.0,77364.0,10315.2
330,2482.5,229.0,77593.0,10345.733333333334
331,2490.0,243.0,77836.0,10378.133333333333
332,2497.5,227.0,78063.0,10408.4
333,2505.0,259.0,78322.0,10442.933333333332
334,2512.5,224.0,78546.0,10472.8
335,2520.0,231.0,78777.0,10503.6
336,2527.5,225.0,79002.0,10533.6
337,2535.0,218.0,79220.0,10562.666666666666
338,2542.5,248.0,79468.0,10595.733333333334
339,2550.0,250.0,79718.0,10629.066666666668
340,2557.5,256.0,79974.0,10663.2
341,2565.0,223.0,80197.0,10692.933333333332
342,2572.5,240.0,80437.0,10724.933333333332
343,2580.0,240.0,80677.0,10756.933333333332
344,2587.5,238.0,80915.0,10788.666666666666
345,2595.0,256.0,81171.0,10822.8
346,2602.5,235.0,81406.0,10854.133333333333
347,2610.0,244.0,81650.0,10886.666666666666
348,2617.5,250.0,81900.0,10920.0
349,2625.0,226.0,82126.0,10950.133333333333
350,2632.5,249.0,82375.0,10983.333333333334
351,2640.0,244.0,82619.0,11015.866666666667
352,2647.5,254.0,82873.0,11049.733333333334
353,2655.0,262.0,83135.0,11084.666666666666
354,2662.5,211.0,83346.0,11112.8
355,2670.0,242.0,83588.0,11145.066666666668
356,2677.5,235.0,83823.0,11176.4
357,2685.0,232.0,84055.0,11207.333333333334
358,2692.5,240.0,84295.0,11239.333333333334
359,2700.0,228.0,84523.0,11269.733333333334
360,2707.5,233.0,84756.0,11300.8
361,2715.0,257.0,85013.0,11335.066666666668
362,2722.5,217.0,85230.0,11364.0
363,2730.0,272.0,85502.0,11400.266666666666
364,2737.5,253.0,85755.0,11434.0
365,2745.0,215.0,85970.0,11462.666666666666
366,2752.5,212.0,86182.0,11490.933333333332
367,2760.0,221.0,86403.0,11520.4
368,2767.5,240.0,86643.0,11552.4
369,2775.0,257.0,86900.0,11586.666666666666
370,2782.5,245.0,87145.0,11619.333333333334
371,2790.0,245.0,87390.0,11652.0
372,2797.5,256.0,87646.0,11686.133333333333
373,2805.0,234.0,87880.0,11717.333333333334
374,2812.5,226.0,88106.0,11747.466666666667
375,2820.0,256.0,88362.0,11781.6
376,2827.5,240.0,88602.0,11813.6
377,2835.0,219.0,88821.0,11842.8
378,2842.5,268.0,89089.0,11878.533333333333
379,2850.0,210.0,89299.0,11906.533333333333
380,2857.5,236.0,89535.0,11938.0
381,2865.0,221.0,89756.0,11967.466666666667
382,2872.5,244.0,90000.0,12000.0
383,2880.0,199.0,90199.0,12026.533333333333
384,2887.5,235.0,90434.0,12057.866666666667
385,2895.0,235.0,90669.0,12089.2
386,2902.5,228.0,90897.0,12119.6
387,2910.0,242.0,91139.0,12151.866666666667
388,2917.5,234.0,91373.0,12183.066666666668
389,2925.0,254.0,91627.0,12216.933333333332
390,2932.5,245.0,91872.0,12249.6
391,2940.0,231.0,92103.0,12280.4
392,2947.5,243.0,92346.0,12312.8
393,2955.0,222.0,92568.0,12342.4
394,2962.5,245.0,92813.0,12375.066666666668
395,2970.0,216.0,93029.0,12403.866666666667
396,2977.5,249.0,93278.0,12437.066666666668
397,2985.0,226.0,93504.0,12467.2
398,2992.5,213.0,93717.0,12495.6
399,3000.0,218.0,93935.0,12524.666666666666
400,3007.5,211.0,94146.0,12552.8
401,3015.0,245.0,94391.0,12585.466666666667
402,3022.5,219.0,94610.0,12614.666666666666
403,3030.0,220.0,94830.0,12644.0
404,3037.5,221.0,95051.0,12673.466666666667
405,3045.0,244.0,95295.0,12706.0
406,3052.5,253.0,95548.0,12739.733333333334
407,3060.0,228.0,95776.0,12770.133333333333
408,3067.5,216.0,95992.0,12798.933333333332
409,3075.0,228.0,96220.0,12829.333333333334
410,3082.5,220.0,96440.0,12858.666666666666
411,3090.0,231.0,96671.0,12889.466666666667
412,3097.5,219.0,96890.0,12918.666666666666
413,3105.0,231.0,97121.0,12949.466666666667
414,3112.5,237.0,97358.0,12981.066666666668
415,3120.0,230.0,97588.0,13011.733333333334
416,3127.5,238.0,97826.0,13043.466666666667
417,3135.0,254.0,98080.0,13077.333333333334
418,3142.5,248.0,98328.0,13110.4
419,3150.0,226.0,98554.0,13140.533333333333
420,3157.5,243.0,98797.0,13172.933333333332
421,3165.0,248.0,99045.0,13206.0
422,3172.5,219.0,99264.0,13235.2
423,3180.0,224.0,99488.0,13265.066666666668
424,3187.5,225.0,99713.0,13295.066666666668
425,3195.0,261.0,99974.0,13329.866666666667
426,3202.5,243.0,100217.0,13362.266666666666
427,3210.0,223.0,100440.0,13392.0
428,3217.5,241.0,100681.0,13424.133333333333
429,3225.0,245.0,100926.0,13456.8
430,3232.5,227.0,101153.0,13487.066666666668
431,3240.0,239.0,101392.0,13518.933333333332
432,3247.5,260.0,101652.0,13553.6
433,3255.0,230.0,101882.0,13584.266666666666
434,3262.5,235.0,102117.0,13615.6
435,3270.0,230.0,102347.0,13646.266666666666
436,3277.5,249.0,102596.0,13679.466666666667
437,3285.0,231.0,102827.0,13710.266666666666
438,3292.5,225.0,103052.0,13740.266666666666
439,3300.0,260.0,103312.0,13774.933333333332
440,3307.5,266.0,103578.0,13810.4
441,3315.0,241.0,103819.0,13842.533333333333
442,3322.5,234.0,104053.0,13873.733333333334
443,3330.0,228.0,104281.0,13904.133333333333
444,3337.5,237.0,104518.0,13935.733333333334
445,3345.0,235.0,104753.0,13967.066666666668
446,3352.5,220.0,104973.0,13996.4
447,3360.0,226.0,105199.0,14026.533333333333
448,3367.5,230.0,105429.0,14057.2
449,3375.0,246.0,105675.0,14090.0
450,3382.5,205.0,105880.0,14117.333333333334
451,3390.0,242.0,106122.0,14149.6
452,3397.5,255.0,106377.0,14183.6
453,3405.0,217.0,106594.0,14212.533333333333
454,3412.5,238.0,106832.0,14244.266666666666
455,3420.0,213.0,107045.0,14272.666666666666
456,3427.5,218.0,107263.0,14301.733333333334
457,3435.0,213.0,107476.0,14330.133333333333
458,3442.5,253.0,107729.0,14363.866666666667
459,3450.0,270.0,107999.0,14399.866666666667
460,3457.5,255.0,108254.0,14433.866666666667
461,3465.0,221.0,108475.0,14463.333333333334
462,3472.5,233.0,108708.0,14494.4
463,3480.0,223.0,108931.0,14524.133333333333
464,3487.5,261.0,109192.0,14558.933333333332
465,3495.0,244.0,109436.0,14591.466666666667
466,3502.5,250.0,109686.0,14624.8
467,3510.0,246.0,109932.0,14657.6
468,3517.5,224.0,110156.0,14687.466666666667
469,3525.0,256.0,110412.0,14721.6
470,3532.5,243.0,110655.0,14754.0
471,3540.0,214.0,110869.0,14782.533333333333
472,3547.5,232.0,111101.0,14813.466666666667
473,3555.0,249.0,111350.0,14846.666666666666
474,3562.5,254.0,111604.0,14880.533333333333
475,3570.0,231.0,111835.0,14911.333333333334
476,3577.5,217.0,112052.0,14940.266666666666
477,3585.0,228.0,112280.0,14970.666666666666
478,3592.5,237.0,112517.0,15002.266666666666
479,3600.0,228.0,112745.0,15032.666666666666
480,3607.5,232.0,112977.0,15063.6
481,3615.0,251.0,113228.0,15097.066666666668
482,3622.5,253.0,113481.0,15130.8
483,3630.0,241.0,113722.0,15162.933333333332
484,3637.5,255.0,113977.0,15196.933333333332
485,3645.0,204.0,114181.0,15224.133333333333
486,3652.5,240.0,114421.0,15256.133333333333
487,3660.0,223.0,114644.0,15285.866666666667
488,3667.5,229.0,114873.0,15316.4
489,3675.0,269.0,115142.0,15352.266666666666
490,3682.5,241.0,115383.0,15384.4
491,3690.0,216.0,115599.0,15413.2
492,3697.5,217.0,115816.0,15442.133333333333
493,3705.0,244.0,116060.0,15474.666666666666
494,3712.5,275.0,116335.0,15511.333333333334
495,3720.0,241.0,116576.0,15543.466666666667
496,3727.5,239.0,116815.0,15575.333333333334
497,3735.0,232.0,117047.0,15606.266666666666
498,3742.5,246.0,117293.0,15639.066666666668
499,3750.0,243.0,117536.0,15671.466666666667
500,3757.5,257.0,117793.0,15705.733333333334
501,3765.0,238.0,118031.0,15737.466666666667
502,3772.5,229.0,118260.0,15768.0
503,3780.0,211.0,118471.0,15796.133333333333
504,3787.5,249.0,118720.0,15829.333333333334
505,3795.0,229.0,118949.0,15859.866666666667
506,3802.5,227.0,119176.0,15890.133333333333
507,3810.0,229.0,119405.0,15920.666666666666
508,3817.5,262.0,119667.0,15955.6
509,3825.0,226.0,119893.0,15985.733333333334
510,3832.5,249.0,120142.0,16018.933333333332
511,3840.0,247.0,120389.0,16051.866666666667
512,3847.5,256.0,120645.0,16086.0
513,3855.0,228.0,120873.0,16116.4
514,3862.5,237.0,121110.0,16148.0
515,3870.0,254.0,121364.0,16181.866666666667
516,3877.5,231.0,121595.0,16212.666666666666
517,3885.0,234.0,121829.0,16243.866666666667
518,3892.5,232.0,122061.0,16274.8
519,3900.0,244.0,122305.0,16307.333333333334
520,3907.5,231.0,122536.0,16338.133333333333
521,3915.0,231.0,122767.0,16368.933333333332
522,3922.5,224.0,122991.0,16398.8
523,3930.0,272.0,123263.0,16435.066666666666
524,3937.5,231.0,123494.0,16465.866666666665
525,3945.0,223.0,123717.0,16495.6
526,3952.5,246.0,123963.0,16528.4
527,3960.0,256.0,124219.0,16562.533333333333
528,3967.5,229.0,124448.0,16593.066666666666
529,3975.0,233.0,124681.0,16624.133333333335
530,3982.5,257.0,124938.0,16658.4
531,3990.0,268.0,125206.0,16694.133333333335
532,3997.5,227.0,125433.0,16724.4
533,4005.0,226.0,125659.0,16754.533333333333
534,4012.5,250.0,125909.0,16787.866666666665
535,4020.0,239.0,126148.0,16819.733333333334
536,4027.5,248.0,126396.0,16852.8
537,4035.0,248.0,126644.0,16885.866666666665
538,4042.5,248.0,126892.0,16918.933333333334
539,4050.0,239.0,127131.0,16950.8
540,4057.5,226.0,127357.0,16980.933333333334
541,4065.0,219.0,127576.0,17010.133333333335
542,4072.5,257.0,127833.0,17044.4
543,4080.0,225.0,128058.0,17074.4
544,4087.5,260.0,128318.0,17109.066666666666
545,4095.0,239.0,128557.0,17140.933333333334
546,4102.5,207.0,128764.0,17168.533333333333
547,4110.0,234.0,128998.0,17199.733333333334
548,4117.5,270.0,129268.0,17235.733333333334
549,4125.0,253.0,129521.0,17269.466666666667
550,4132.5,256.0,129777.0,17303.6
551,4140.0,226.0,130003.0,17333.733333333334
552,4147.5,213.0,130216.0,17362.133333333335
553,4155.0,225.0,130441.0,17392.133333333335
554,4162.5,230.0,130671.0,17422.8
555,4170.0,223.0,130894.0,17452.533333333333
556,4177.5,259.0,131153.0,17487.066666666666
557,4185.0,226.0,131379.0,17517.2
558,4192.5,241.0,131620.0,17549.333333333332
559,4200.0,228.0,131848.0,17579.733333333334
560,4207.5,241.0,132089.0,17611.866666666665
561,4215.0,242.0,132331.0,17644.133333333335
562,4222.5,223.0,132554.0,17673.866666666665
563,4230.0,214.0,132768.0,17702.4
564,4237.5,266.0,133034.0,17737.866666666665
565,4245.0,238.0,133272.0,17769.6
566,4252.5,242.0,133514.0,17801.866666666665
567,4260.0,246.0,133760.0,17834.666666666668
568,4267.5,223.0,133983.0,17864.4
569,4275.0,266.0,134249.0,17899.866666666665
570,4282.5,225.0,134474.0,17929.866666666665
571,4290.0,265.0,134739.0,17965.2
572,4297.5,218.0,134957.0,17994.266666666666
573,4305.0,248.0,135205.0,18027.333333333332
574,4312.5,240.0,135445.0,18059.333333333332
575,4320.0,240.0,135685.0,18091.333333333332
576,4327.5,216.0,135901.0,18120.133333333335
577,4335.0,228.0,136129.0,18150.533333333333
578,4342.5,209.0,136338.0,18178.4
579,4350.0,263.0,136601.0,18213.466666666667
580,4357.5,226.0,136827.0,18243.6
581,4365.0,247.0,137074.0,18276.533333333333
582,4372.5,238.0,137312.0,18308.266666666666
583,4380.0,222.0,137534.0,18337.866666666665
584,4387.5,245.0,137779.0,18370.533333333333
585,4395.0,231.0,138010.0,18401.333333333332
586,4402.5,228.0,138238.0,18431.733333333334
587,4410.0,227.0,138465.0,18462.0
588,4417.5,268.0,138733.0,18497.733333333334
589,4425.0,254.0,138987.0,18531.6
590,4432.5,250.0,139237.0,18564.933333333334
591,4440.0,230.0,139467.0,18595.6
592,4447.5,242.0,139709.0,18627.866666666665
593,4455.0,233.0,139942.0,18658.933333333334
594,4462.5,241.0,140183.0,18691.066666666666
595,4470.0,245.0,140428.0,18723.733333333334
596,4477.5,258.0,140686.0,18758.133333333335
597,4485.0,237.0,140923.0,18789.733333333334
598,4492.5,213.0,141136.0,18818.133333333335
599,4500.0,224.0,141360.0,18848.0
600,4507.5,213.0,141573.0,18876.4
601,4515.0,211.0,141784.0,18904.533333333333
